pl_NZ_CP024294.1	IncFII_1__AY458016	96.18	262	0	93966	94227	1	261	1e-119	427
pl_NZ_CP024294.1	IncFII(pCoo)_1_pCoo_CR942285	95.04	262	0	93966	94227	1	262	3e-115	412
pl_NZ_CP024295.1	IncFIB(AP001918)_1__AP001918	96.48	682	1	46439	47120	1	682	0.0	1127
pl_NZ_CP024295.1	IncFII_1__AY458016	96.18	262	0	83166	83425	1	261	3e-119	425
pl_NZ_CP024296.1	IncFII(pCoo)_1_pCoo_CR942285	96.18	262	0	60551	60810	262	1	9e-120	427
pl_NZ_CP024241.1	IncI1_1_Alpha_AP005147	95.65	138	0	42180	42316	138	1	2e-57	220
pl_NZ_CP024280.1	IncFII_1__AY458016	96.18	262	0	707	968	261	1	5e-120	427
pl_NZ_CP024280.1	IncFII(pCoo)_1_pCoo_CR942285	95.04	262	0	707	968	262	1	1e-115	412
pl_NZ_CP024281.1	IncFII_1__AY458016	100.00	261	0	24162	24422	261	1	2e-136	483
pl_NZ_CP024225.1	IncFII(pHN7A8)_1_pHN7A8_JN232517	95.80	262	1	24873	25134	1	260	1e-118	422
pl_NZ_CP024226.1	IncB/O/K/Z_2_GU256641	96.08	153	0	34391	34543	152	1	7e-66	248
pl_NZ_CP024226.1	IncB/O/K/Z_4_FN868832	96.60	147	0	34391	34537	149	3	9e-65	244
pl_NZ_CP024227.1	IncFIB(AP001918)_1__AP001918	96.92	682	0	57845	58526	682	1	0.0	1144
pl_NZ_CP024227.1	IncFII_1__AY458016	95.80	262	0	103631	103892	1	261	6e-118	422
pl_NZ_CP024270.1	IncI1_1_Alpha_AP005147	97.89	142	0	20462	20603	142	1	1e-65	246
pl_NZ_CP024272.1	IncFIB(AP001918)_1__AP001918	96.92	682	0	121138	121819	1	682	0.0	1144
pl_NZ_CP024272.1	IncFII_1__AY458016	95.80	262	0	75772	76033	261	1	6e-118	422
pl_NZ_CP024298.1	IncI1_1_Alpha_AP005147	95.65	138	0	47953	48089	138	1	2e-57	220
pl_NZ_CP024261.1	IncX1_1__EU370913	98.40	374	1	27561	27934	374	1	0.0	658
pl_NZ_CP024262.1	IncFII(pCoo)_1_pCoo_CR942285	95.06	263	0	25970	26229	1	262	1e-114	411
pl_NZ_CP024262.1	IncFII_1__AY458016	95.04	262	0	25970	26229	1	261	4e-114	409
pl_NZ_CP024290.1	IncX1_1__EU370913	98.40	374	1	35688	36061	1	374	0.0	658
pl_NZ_CP024291.1	IncFIB(AP001918)_1__AP001918	97.65	682	1	18543	19224	1	682	0.0	1171
pl_NZ_CP024291.1	IncFII_1__AY458016	95.80	262	0	62890	63151	1	261	5e-118	422
pl_NZ_CP024291.1	IncFII(pCoo)_1_pCoo_CR942285	95.44	263	0	62890	63151	1	262	6e-117	418
pl_NZ_CP024292.1	IncI1_1_Alpha_AP005147	100.00	142	0	5219	5360	1	142	2e-70	263
pl_NZ_CP024233.1	IncI1_1_Alpha_AP005147	97.89	142	0	10345	10486	1	142	9e-66	246
pl_NZ_CP024235.1	IncFIB(AP001918)_1__AP001918	96.77	682	1	37272	37953	682	1	0.0	1138
pl_NZ_CP024235.1	IncFII(pRSB107)_1_pRSB107_AJ851089	95.40	261	0	11334	11594	261	1	1e-116	416
pl_NZ_CP024236.1	IncHI1B(R27)_1_R27_AF250878	99.81	540	0	114085	114624	540	1	0.0	992
pl_NZ_CP024236.1	IncHI1A_1__AF250878	99.76	420	0	127701	128120	1	420	0.0	771
pl_NZ_CP024236.1	IncFIA(HI1)_1_HI1_AF250878	100.00	388	0	190242	190629	1	388	0.0	717
pl_NZ_CP024237.1	IncFII(pCoo)_1_pCoo_CR942285	95.06	263	0	87014	87273	1	262	1e-114	411
pl_NZ_CP024237.1	IncFII_1__AY458016	95.04	262	0	87014	87273	1	261	5e-114	409
pl_NZ_CP024238.1	IncFII(pCoo)_1_pCoo_CR942285	97.71	262	0	169850	170111	1	262	2e-126	451
pl_NZ_CP024238.1	IncFII_1__AY458016	95.42	262	0	169850	170111	1	261	6e-116	416
pl_NZ_CP024254.1	IncB/O/K/Z_2_GU256641	96.15	156	0	27489	27644	154	1	2e-67	254
pl_NZ_CP024255.1	IncFII(pCoo)_1_pCoo_CR942285	95.04	262	0	44179	44439	1	262	9e-115	411
pl_NZ_CP024258.1	IncFIB(AP001918)_1__AP001918	96.63	682	1	74679	75360	1	682	0.0	1133
pl_NZ_CP024258.1	IncFII(pCoo)_1_pCoo_CR942285	95.04	262	0	1952	2211	1	262	9e-115	411
pl_NZ_CP024259.1	IncFII(pCoo)_1_pCoo_CR942285	95.04	262	0	35697	35957	1	262	9e-115	411
pl_NZ_CP024265.1	IncFIB(AP001918)_1__AP001918	96.92	682	0	34756	35437	682	1	0.0	1144
pl_NZ_CP024265.1	IncFII_1__AY458016	95.80	262	0	83187	83448	1	261	7e-118	422
pl_NZ_CP024229.1	IncFIB(AP001918)_1__AP001918	96.77	682	2	34536	35217	682	1	0.0	1138
pl_NZ_CP024229.1	IncFII(pCoo)_1_pCoo_CR942285	95.06	263	1	8931	9191	262	1	4e-115	411
pl_NZ_CP024230.1	IncB/O/K/Z_2_GU256641	96.08	153	0	22414	22566	152	1	6e-66	248
pl_NZ_CP024230.1	IncB/O/K/Z_4_FN868832	96.60	147	0	22414	22560	149	3	7e-65	244
pl_NZ_CP024231.1	IncFIC(FII)_1__AP001918	95.41	501	1	4231	4729	499	1	0.0	795
pl_NZ_CP024231.1	IncFII(pCoo)_1_pCoo_CR942285	95.42	262	0	4469	4729	262	1	2e-116	416
pl_NZ_CP024231.1	IncFII(29)_1_pUTI89_CP003035	95.02	261	0	4469	4729	259	1	3e-114	409
pl_NZ_CP024284.1	IncFII(29)_1_pUTI89_CP003035	99.61	259	0	16305	16563	259	1	7e-134	473
pl_NZ_CP024285.1	IncI1_1_Alpha_AP005147	100.00	142	0	87178	87319	142	1	4e-70	263
pl_NZ_CP024286.1	IncFIB(AP001918)_1__AP001918	96.33	682	1	98268	98949	1	682	0.0	1122
pl_NZ_CP024286.1	IncFII_1__AY458016	96.55	261	0	38831	39091	1	261	2e-121	433
